,2,9.2,5.2,3.2,8.1,6.4,9.1,3.3,10.2,3.1,6.1,4,10.1,7.1,6.2,7.2,8.2,6.3,5.1,1,,
2,0,,,,,,,,,,,,,,,,,,,,,
9.2,24,0,,,,,,,,,,,,,,,,,,,,
5.2,216.75,80.5,0,,,,,,,,,,,,,,,,,,,
3.2,181.75,45.5,46,0,,,,,,,,,,,,,,,,,,
8.1,375.25,239,239.5,114,0,,,,,,,,,,,,,,,,,
6.4,343,206.75,65,172.25,365.75,0,,,,,,,,,,,,,,,,
9.1,307,170.75,171.25,45.75,68.25,297.5,0,,,,,,,,,,,,,,,
3.3,38.25,14.25,207,172,365.5,333.25,297.25,0,,,,,,,,,,,,,,
10.2,34,10,202.75,167.75,361.25,329,293,24.25,0,,,,,,,,,,,,,
3.1,487.25,351,351.5,226,234.5,477.75,180.25,477.5,473.25,0,,,,,,,,,,,,
6.1,416.25,280,280.5,155,163.5,406.75,109.25,406.5,402.25,71,0,,,,,,,,,,,
4,418.75,282.5,283,157.5,166,409.25,111.75,409,404.75,75,4,0,,,,,,,,,,
10.1,360.5,224.25,224.75,99.25,107.75,351,53.5,350.75,346.5,126.75,55.75,58.25,0,,,,,,,,,
7.1,531.25,395,395.5,270,0.5,521.75,224.25,521.5,517.25,390.5,319.5,322,263.75,0,,,,,,,,
6.2,540,403.75,404.25,278.75,9.25,530.5,233,530.25,526,399.25,328.25,330.75,272.5,9.75,0,,,,,,,
7.2,325.25,189,189.5,64,50,315.75,18.25,315.5,311.25,184.5,113.5,116,57.75,206,214.75,0,,,,,,
8.2,262,125.75,126.25,1.25,115.25,252.5,47,252.25,248,227.25,156.25,158.75,100.5,271.25,280,65.25,0,,,,,
6.3,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0,,,,
5.1,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0,,,
1,30,57.25,250,215,408.5,376.25,340.25,71.5,67.25,520.5,449.5,452,393.75,564.5,573.25,358.5,295.25,100000,100000,0,,
